California, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,0.83,-0.80
199104,0.75,-0.88
199204,1.03,-0.60
199304,1.45,-0.18
199404,1.36,-0.27
199504,2.69,1.06
199604,2.10,0.47
199704,0.89,-0.74
199804,2.17,0.54
199904,1.87,0.24
200004,1.80,0.17
200104,1.75,0.12
200204,0.88,-0.75
200304,3.98,2.35
200404,0.70,-0.93
200504,1.79,0.16
200604,4.16,2.53
200704,1.27,-0.36
200804,0.34,-1.29
200904,0.57,-1.06
201004,3.47,1.84
201104,1.10,-0.53
201204,2.48,0.85
201304,0.71,-0.92
201404,1.06,-0.57
201504,1.06,-0.57
201604,1.52,-0.11
201704,2.76,1.13
201804,2.13,0.50
201904,1.22,-0.41
202004,1.98,0.35
