California, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,0.91,-2.70
199112,2.50,-1.11
199212,6.48,2.87
199312,2.52,-1.09
199412,2.81,-0.80
199512,5.78,2.17
199612,8.96,5.35
199712,2.96,-0.65
199812,1.65,-1.96
199912,0.65,-2.96
200012,0.77,-2.84
200112,5.25,1.64
200212,8.14,4.53
200312,5.77,2.16
200412,5.51,1.90
200512,7.81,4.20
200612,3.13,-0.48
200712,3.21,-0.40
200812,3.05,-0.56
200912,3.15,-0.46
201012,8.13,4.52
201112,0.47,-3.14
201212,6.15,2.54
201312,0.44,-3.17
201412,6.30,2.69
201512,4.69,1.08
201612,4.49,0.88
201712,0.30,-3.31
201812,2.38,-1.23
201912,4.87,1.26
