California, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,3.72,-0.53
199101,1.00,-3.25
199201,1.94,-2.31
199301,8.86,4.61
199401,1.91,-2.34
199501,12.50,8.25
199601,5.12,0.87
199701,7.62,3.37
199801,6.97,2.72
199901,3.54,-0.71
200001,5.09,0.84
200101,3.52,-0.73
200201,2.22,-2.03
200301,1.92,-2.33
200401,2.27,-1.98
200501,5.56,1.31
200601,4.54,0.29
200701,0.81,-3.44
200801,7.11,2.86
200901,1.27,-2.98
201001,6.48,2.23
201101,1.28,-2.97
201201,3.12,-1.13
201301,1.19,-3.06
201401,0.54,-3.71
201501,0.65,-3.60
201601,6.39,2.14
201701,9.92,5.67
201801,3.33,-0.92
201901,5.23,0.98
202001,2.06,-2.19
