California, Precipitation, July
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199007,0.28,0.10
199107,0.26,0.08
199207,0.24,0.06
199307,0.03,-0.15
199407,0.05,-0.13
199507,0.17,-0.01
199607,0.20,0.02
199707,0.31,0.13
199807,0.20,0.02
199907,0.31,0.13
200007,0.06,-0.12
200107,0.28,0.10
200207,0.06,-0.12
200307,0.22,0.04
200407,0.06,-0.12
200507,0.14,-0.04
200607,0.15,-0.03
200707,0.18,0.00
200807,0.14,-0.04
200907,0.05,-0.13
201007,0.07,-0.11
201107,0.22,0.04
201207,0.26,0.08
201307,0.28,0.10
201407,0.22,0.04
201507,0.66,0.48
201607,0.06,-0.12
201707,0.09,-0.09
201807,0.22,0.04
201907,0.08,-0.10
202007,0.05,-0.13
