California, Precipitation, March
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,1.30,-1.91
199103,9.11,5.90
199203,3.65,0.44
199303,3.05,-0.16
199403,1.24,-1.97
199503,9.57,6.36
199603,2.57,-0.64
199703,0.84,-2.37
199803,4.15,0.94
199903,2.40,-0.81
200003,1.92,-1.29
200103,2.21,-1.00
200203,1.91,-1.30
200303,2.77,-0.44
200403,1.08,-2.13
200503,3.69,0.48
200603,5.41,2.20
200703,0.74,-2.47
200803,0.61,-2.60
200903,2.26,-0.95
201003,2.19,-1.02
201103,6.41,3.20
201203,4.74,1.53
201303,1.33,-1.88
201403,3.28,0.07
201503,0.78,-2.43
201603,4.88,1.67
201703,2.45,-0.76
201803,5.12,1.91
201903,4.05,0.84
202003,3.19,-0.02
