California, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199010,0.47,-0.73
199110,1.28,0.08
199210,2.13,0.93
199310,0.82,-0.38
199410,0.63,-0.57
199510,0.05,-1.15
199610,1.70,0.50
199710,1.08,-0.12
199810,0.76,-0.44
199910,0.71,-0.49
200010,2.20,1.00
200110,0.65,-0.55
200210,0.06,-1.14
200310,0.09,-1.11
200410,3.72,2.52
200510,1.00,-0.20
200610,0.45,-0.75
200710,1.50,0.30
200810,0.70,-0.50
200910,2.07,0.87
201010,3.00,1.80
201110,1.54,0.34
201210,0.99,-0.21
201310,0.26,-0.94
201410,1.06,-0.14
201510,0.90,-0.30
201610,3.82,2.62
201710,0.34,-0.86
201810,0.70,-0.50
201910,0.16,-1.04
202010,0.05,-1.15
