Year,Avg Temp (F)_Jan,Avg Temp (F)_Feb,Avg Temp (F)_Mar,Avg Temp (F)_Apr,Avg Temp (F)_May,Avg Temp (F)_Jun,Avg Temp (F)_Jul,Avg Temp (F)_Aug,Avg Temp (F)_Sep,Avg Temp (F)_Oct,Avg Temp (F)_Nov,Avg Temp (F)_Dec,yearly mean
1990,43.1,42.7,51.4,58.4,60.2,69.4,76.4,73.7,69.9,62.0,50.0,38.4,57.96666666666667
1991,43.6,51.5,44.8,52.7,57.9,66.2,75.4,73.2,72.2,64.5,51.6,44.0,58.13333333333333
1992,43.2,49.1,50.8,58.9,67.0,69.0,73.8,76.2,70.8,62.6,49.5,40.3,59.26666666666666
1993,41.3,44.0,52.9,55.2,62.3,68.0,72.2,73.2,69.5,61.4,48.8,43.1,57.658333333333324
1994,45.7,43.7,52.9,55.9,61.3,70.9,76.5,75.8,69.8,58.6,42.9,42.1,58.00833333333333
1995,44.7,51.3,48.9,52.9,58.4,66.1,74.2,75.0,71.2,62.2,55.9,46.4,58.93333333333333
1996,45.6,48.8,51.5,56.8,62.5,70.4,78.1,76.7,68.4,59.2,51.1,45.6,59.558333333333344
1997,44.5,46.6,54.0,55.6,67.6,68.4,74.0,74.9,70.8,59.0,51.6,42.4,59.11666666666665
1998,45.1,43.6,49.2,51.6,54.9,65.2,76.0,77.2,69.2,57.7,48.8,42.0,56.708333333333336
1999,45.0,44.9,47.5,51.3,60.4,67.8,73.3,72.6,70.7,63.7,53.0,45.3,57.958333333333336
2000,45.8,47.2,50.2,57.8,63.9,72.2,73.5,75.0,69.1,58.4,46.0,46.5,58.79999999999999
2001,42.3,43.1,52.6,52.0,68.6,71.4,74.2,76.0,71.2,63.6,51.6,42.8,59.11666666666667
2002,42.4,48.2,48.5,56.0,61.5,71.2,77.4,74.4,70.9,59.4,52.3,44.0,58.849999999999994
2003,50.0,45.7,51.4,50.0,62.0,71.2,78.7,75.0,72.9,65.4,46.8,44.0,59.42499999999999
2004,43.5,44.2,56.9,57.3,63.2,70.4,76.1,74.8,69.4,58.2,47.7,44.6,58.85833333333335
2005,44.1,47.1,51.1,53.0,62.2,66.2,78.4,75.8,66.9,59.9,52.4,46.1,58.6
2006,44.6,47.7,44.0,53.0,64.6,73.2,79.3,73.8,69.5,58.8,51.3,43.9,58.64166666666666
2007,41.5,46.7,54.4,56.3,64.1,70.5,76.9,76.1,67.5,58.6,53.3,41.2,58.925000000000004
2008,41.1,45.8,50.3,54.4,61.7,71.1,76.5,76.6,71.8,61.8,53.9,42.0,58.91666666666666
2009,46.9,45.2,49.2,54.3,66.7,67.5,77.6,74.8,73.0,58.1,50.9,41.8,58.833333333333336
2010,45.2,46.8,49.0,50.9,56.9,69.1,76.1,73.4,70.4,60.5,48.6,45.8,57.724999999999994
2011,45.2,43.4,48.7,53.4,57.6,66.9,74.2,75.2,72.2,61.4,48.2,42.8,57.43333333333334
2012,46.5,46.5,48.8,55.8,63.9,69.3,74.7,77.8,73.1,62.2,52.5,43.0,59.50833333333333
2013,42.1,45.3,53.8,58.2,63.8,72.4,78.0,74.4,69.3,58.5,51.9,44.1,59.31666666666666
2014,50.1,49.8,53.5,57.7,64.6,71.9,78.4,74.9,72.2,64.4,53.1,46.8,61.449999999999996
2015,48.6,53.2,56.9,56.7,60.8,74.4,75.0,76.5,72.1,65.0,47.6,42.3,60.75833333333333
2016,44.5,51.8,52.5,57.9,62.2,73.5,76.8,76.2,69.5,60.5,52.8,43.4,60.13333333333333
2017,42.2,47.3,53.4,55.6,63.4,72.8,78.8,77.9,69.8,62.0,53.4,47.5,60.34166666666666
2018,48.9,46.6,49.0,57.2,63.0,71.4,79.6,76.4,71.1,60.9,52.6,44.8,60.125
2019,46.1,40.6,48.9,58.2,58.6,71.2,75.6,76.8,68.9,58.8,53.0,44.5,58.43333333333334
2020,45.4,49.2,48.0,56.6,64.7,70.5,76.7,79.0,74.2,66.5,,,63.08
