Year,Fires,Acres
1987,8062,87000
1988,8121,191000
1989,6635,73600
1990,7283,212100
1991,6271,23100
1992,7939,191490
1993,6688,122606
1994,7207,140792
1995,6601,121198
1996,7237,232624
1997,6835,57788
1998,5227,92456
1999,7562,285272
2000,5177,72718
2001,6223,90985
2002,5759,112810
2003,5961,404328
2004,5574,168134
2005,"4,908",74004
2006,4805,222896
2007,3610,434667
2008,3593,380310
2009,2858,75960
2010,2434,25438
2011,3056,51889
2012,2922,128956
2013,3672,114473
2014,2920,163067
2015,3231,291282
2016,2816,244556
2017,3470,467497
2018,3504,1063414
