OBJECTID_1,SRA,INCORP,HAZ_CODE,HAZ_CLASS,VH_REC,SHAPE_LENG,OBJECTID,FID_C19FHS,FHSZ_LYR,SHAPEAREA,SHAPELEN
1,LRA, ,3,Very High, ,9281.55096674,9,8,LRA,2565136.61810896,11206.0725413106
2,LRA, ,3,Very High, ,2228.15760528,10,9,LRA,210688.30427545,2689.30462932971
3,LRA, ,3,Very High, ,9259.8863656,11,10,LRA,1313968.29985146,11185.5293341792
4,LRA, ,3,Very High, ,433.08211651,12,11,LRA,0.57708641,524.530800988214
5,LRA, ,3,Very High, ,1247.52837131,13,12,LRA,39053.137528855,1508.6690187363
6,LRA, ,3,Very High, ,4632.9041474,14,13,LRA,334381.49852396,5595.76781285427
7,LRA, ,3,Very High, ,3254.36444731,15,14,LRA,434234.934097405,3932.26336747434
8,LRA, ,3,Very High, ,3660.91849568,16,15,LRA,607031.3011253,4422.4568184116
9,LRA, ,3,Very High, ,159.44528591,17,16,LRA,0.094213275,193.280422125872
10,LRA, ,3,Very High, ,1744.59491669,18,17,LRA,268468.01387566,2109.69442941487
11,LRA, ,3,Very High, ,3912.1910389,19,21,LRA,591681.75076383,4730.73253030809
12,LRA, ,3,Very High, ,637.92045064,20,22,LRA,2.40644188,770.066466403957
13,LRA, ,3,Very High,Very High,5497.26392297,,,LRA,395296.92011077,6593.86751614284
14,LRA, ,3,Very High,Very High,29731.2961092,,,LRA,9582812.16481041,35669.6151419083
15,LRA, ,3,Very High,Very High,2600.56324278,,,LRA,118562.80477263,3116.90931323903
16,LRA, ,3,Very High,Very High,12151.7276518,,,LRA,599990.44176992,14552.7031784063
17,LRA, ,3,Very High,Very High,13628.6442888,,,LRA,2012535.00767167,16322.0214066308
18,LRA, ,3,Very High,Very High,2757.09595327,,,LRA,248090.2114864,3303.41591843094
19,LRA, ,3,Very High,Very High,8777.55298634,,,LRA,1443831.15913554,10454.8174102749
20,LRA,Y,3,Very High,,1216.43091937,,,LRA,65258.91454024,1565.00133418152
21,LRA,Y,3,Very High,,13655.7889282,,,LRA,10575223.5061273,17574.5521061495
22,LRA,Y,3,Very High,,2021.32025146,,,LRA,276412.20313056,2653.59379165788
23,LRA,Y,3,Very High,,11969.4630516,,,LRA,2414857.2453828,15734.2684723232
24,LRA,Y,3,Very High,,2463.55768168,,,LRA,348243.3038704,3238.54242247389
25,LRA, ,3,Very High, ,5230.21287622,21,23,LRA,1771972.12936108,6324.72690694029
26,LRA, ,3,Very High, ,797.86038641,22,24,LRA,1.365163225,967.345342526413
27,LRA, ,3,Very High, ,14189.4171938,23,25,LRA,8740843.8447828,17159.6278001198
28,LRA, ,3,Very High, ,4946.90006544,24,26,LRA,1066433.14513292,5984.07664754209
29,LRA, ,3,Very High, ,3655.89930095,25,27,LRA,267535.697157885,4421.49786526918
30,LRA, ,3,Very High, ,2817.70268222,26,28,LRA,278729.205104625,3410.53647201331
31,LRA, ,3,Very High, ,6648.82121141,27,29,LRA,1492865.39377247,8046.60813276957
32,LRA, ,3,Very High, ,6036.72457812,28,30,LRA,924817.970561405,7307.8898390404
33,LRA, ,3,Very High, ,3234.25994252,29,31,LRA,958202.794335195,3913.20407374043
34,LRA, ,3,Very High, ,968.83185186,30,32,LRA,45623.767114295,1173.97178176973
35,LRA, ,3,Very High, ,326.07187644,31,33,LRA,0.82951237,395.457203416825
36,LRA, ,3,Very High, ,5415.46085407,1,0,LRA,1967042.75350341,6523.51855454652
37,LRA, ,3,Very High, ,2802.0708184,2,1,LRA,614866.73280459,3374.98814524615
38,LRA, ,3,Very High, ,802.12863342,3,2,LRA,47015.261957425,967.655755190409
39,LRA, ,3,Very High, ,1096.58782061,4,3,LRA,59496.756962885,1322.28799050053
40,LRA, ,3,Very High, ,59225.9774593,5,4,LRA,13673899.6551697,71500.0587211985
41,LRA, ,3,Very High, ,1255.27283904,6,5,LRA,103272.62870507,1517.02535534895
42,LRA, ,3,Very High, ,17849.1837111,7,6,LRA,7698209.62731947,21556.5542741625
43,LRA, ,3,Very High, ,877.92147886,8,7,LRA,49986.902619,1060.28823036723
44,LRA,Y,3,Very High, ,2983.55185559,56,91,LRA,417231.049751285,3606.39912769389
45,LRA,Y,3,Very High, ,3159.0531898,57,92,LRA,459910.15628536,3823.94162261324
46,LRA,Y,3,Very High, ,14207.1816635,58,93,LRA,11394942.6868882,17179.6357725693
47,LRA,Y,3,Very High, ,2906.81244424,59,94,LRA,181864.06128629,3516.07066975093
48,LRA,Y,3,Very High, ,1714.06550599,60,95,LRA,129175.49950401,2073.46538921108
49,LRA,Y,3,Very High, ,1938.90420316,61,97,LRA,198226.300648845,2345.49352972705
