OBJECTID,YEAR_,STATE,UNIT_ID,FIRE_NUM,FIRE_NAME,AGENCY,C_METHOD,CAUSE,INC_NUM,OBJECTIVE,COMMENTS,REPORT_AC,GIS_ACRES,ALARM_DATE,CONT_DATE
1,2007,CA,LAC,00233414,OCTOBER,CCO,8,14,00246393,1,,,25.73671341,2007/10/21 00:00:00+00,2007/10/23 00:00:00+00
2,2007,CA,LAC,00233077,MAGIC,CCO,8,14,00233077,1,,,2824.87719727,2007/10/22 00:00:00+00,2007/10/25 00:00:00+00
3,2007,CA,ANF,00000166,RANCH,USF,7,2,00000166,1,,54716,58410.3359375,2007/10/20 00:00:00+00,2007/11/15 00:00:00+00
4,2007,CA,LAC,00201384,EMMA,CCO,8,14,00201384,1,,,172.21495056,2007/09/11 00:00:00+00,2007/09/11 00:00:00+00
5,2007,CA,LAC,00259483,CORRAL,CCO,8,14,00259483,1,,,4707.99707031,2007/11/24 00:00:00+00,2007/11/27 00:00:00+00
6,2007,CA,LAC,00109398,GORMAN,CCO,8,14,00109398,1,,,2373.8449707,2007/05/19 00:00:00+00,2007/05/22 00:00:00+00
7,2007,CA,LAC,00148311,WEST,CCO,8,14,00148311,1,,,245.23396301,2007/07/07 00:00:00+00,2007/07/08 00:00:00+00
8,2007,CA,LAC,00177427,PEARBLOSSOM,CCO,8,14,00177427,1,,,81.03350067,2007/08/13 00:00:00+00,2007/08/14 00:00:00+00
9,2007,CA,LAC,00183643,SKYLINE,CCO,8,14,00183643,1,,,95.41855621,2007/08/21 00:00:00+00,2007/08/23 00:00:00+00
10,2007,CA,LAC,00231876,SESNON,CCO,8,14,00231876,1,,,30.3014183,2007/10/21 00:00:00+00,2007/10/21 00:00:00+00
11,2007,CA,LAC,00233414,SOLEDAD,CCO,8,14,00233414,1,,,44.16777039,2007/10/22 00:00:00+00,2007/10/23 00:00:00+00
12,2007,CA,LAC,00233912,Y,CCO,,14,00233912,1,,,22.49172974,2007/10/23 00:00:00+00,1970/01/01 00:00:00+00
13,2007,CA,MVU,00000000,ANGEL 3,CDF,7,4,00009233,1, ,837,832.12652588,2007/09/15 00:00:00+00,2007/09/25 00:00:00+00
14,2007,CA,MVU,00000000,BANNER,CDF,7,14,00006310,1,,,95.15126038,2007/07/01 00:00:00+00,2007/07/03 00:00:00+00
15,2007,CA,HUU,00000000,CHAMBERS,CDF,2,7,00003235,1,,55,54.69635773,2007/07/27 00:00:00+00,2007/07/29 00:00:00+00
16,2007,CA,HUU,00000000,BROWN,CDF,2,2,00002877,1,,20,18.73177338,2007/07/08 00:00:00+00,2007/07/08 00:00:00+00
17,2007,CA,HUU,00000000,DRIFTWOOD,CDF,1,14,00004908,1,,70,52.9729538,2007/10/25 00:00:00+00,2007/11/05 00:00:00+00
18,2007,CA,HUU,00000000,CAPPEL,CDF,1,14,00004049,1,,20,12.89414597,2007/09/05 00:00:00+00,2007/09/11 00:00:00+00
19,2007,CA,KRN,00717959,MOUNTAIN,CCO,1,14,00717959,1,,840.56,840.55828857,2007/07/19 00:00:00+00,2007/07/19 00:00:00+00
20,2007,CA,KRN,00718055,WHITE,CCO,7,2,00018055,1,,12432.15,12432.16015625,2007/06/24 00:00:00+00,2007/06/29 00:00:00+00
21,2007,CA,KRN,0713610,WOFFORD,USF,2,9,00000000,1, ,567,567.456604,2007/05/09 00:00:00+00,2007/05/13 00:00:00+00
22,2007,CA,LAC,00080271,PEARBLOSSOM,CCO,8,14,00080271,1,,77,77.80277252,2007/04/12 00:00:00+00,2007/04/13 00:00:00+00
23,2007,CA,LAC,00102481,ISLAND,CCO,8,14,00102481,1,,4750,4722.96582031,2007/05/10 00:00:00+00,2007/05/17 00:00:00+00
24,2007,CA,LAC,00148415,CANYON,CCO,,14,00148415,1,,743,743.47991943,2007/07/07 00:00:00+00,1970/01/01 00:00:00+00
25,2007,CA,LAC,00193853,FAIRMONT,CCO,8,14,00193853,1,,211,211.62194824,2007/09/01 00:00:00+00,2007/09/08 00:00:00+00
26,2007,CA,FKU,00009400,AUBERRY,CDF,2,10,00009400,1,,150,150.93606567,2007/08/28 00:00:00+00,2007/09/03 00:00:00+00
