California, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,-2.86,-2.78
199102,-5.68,-5.60
199202,-2.46,-2.38
199302,3.44,3.52
199402,-2.26,-2.18
199502,2.23,2.31
199602,2.90,2.98
199702,-0.94,-0.86
199802,4.16,4.24
199902,0.57,0.65
200002,1.00,1.08
200102,-2.06,-1.98
200202,-2.24,-2.16
200302,0.37,0.45
200402,1.01,1.09
200502,2.28,2.36
200602,2.84,2.92
200702,-2.81,-2.73
200802,-2.33,-2.25
200902,-4.15,-4.07
201002,0.66,0.74
201102,1.82,1.90
201202,-3.18,-3.10
201302,-1.66,-1.58
201402,-5.87,-5.79
201502,-4.86,-4.78
201602,-2.99,-2.91
201702,4.76,4.84
201802,-4.15,-4.07
201902,2.10,2.18
202002,-2.74,-2.66
