City,People in VHFH zone,Pct. of population in VHFH Zone
Calabasas,23042,100
La Canada Flintridge,20048,100
Palos Verdes Estates,13754,100
Malibu,12184,100
Crestline,10742,100
Topanga,8289,100
Rolling Hills Estates,7961,100
Acton,7596,100
Running Springs,4808,100
Idyllwild-Pine Cove,3874,100
Arnold,3843,100
Harbison Canyon,3841,100
Kings Beach,3796,100
Avalon,3728,100
Agua Dulce,3342,100
Mono Vista,3127,100
Clearlake Riviera,3090,100
Frazier Park,2685,100
Val Verde,2468,100
Lake Nacimiento,2411,100
Georgetown,2367,100
Pine Mountain Club,2315,100
Shingletown,2283,100
Twain Harte,2224,100
Soulsbyville,2215,100
Bell Canyon,2049,100
Colfax,1963,100
Rolling Hills,1860,100
Shasta,1771,100
Elizabeth Lake,1768,100
Cobb,1755,100
Dunsmuir,1650,100
Leona Valley,1603,100
Sunnyside-Tahoe City,1557,100
Lake Sherwood,1527,100
Pine Valley,1510,100
Berry Creek,1424,100
Red Corral,1420,100
Tahoe Vista,1403,100
Forest Meadows,1249,100
Dollar Point,1215,100
Lewiston,1193,100
Tahoma,1191,100
Happy Camp,1190,100
Challenge-Brownsville,1148,100
Hasley Canyon,1137,100
Cedar Ridge,1132,100
Pioneer,1094,100
Grizzly Flats,1066,100
Santa Susana,1037,100
Yosemite Valley,1035,100
Green Valley,1027,100
Phoenix Lake,4264,100
Mountain Ranch,1626,100
Nevada City,3064,100
Julian,1500,100
Kensington,5062,100
Lake Arrowhead,12364,100
Wrightwood,4486,99
Emerald Lake Hills,4242,99
Placerville,10240,98
Magalia,11289,98
Bella Vista,2724,98
Mission Canyon,2330,98
Wofford Heights,2147,98
Descanso,1382,97
Rancho Palos Verdes,40550,97
Hidden Meadows,3353,97
Foresthill,1433,97
Paradise,24957,95
Pollock Pines,6533,95
Aguanga,1062,94
Jamul,5808,94
South Lake Tahoe,19851,93
Bodfish,1789,91
Buckhorn,2217,91
