fire name,cause,month,year,county,acres,structures,deaths
AUGUST COMPLEX ,Under Investigation,August,2020,"Mendocino, Humboldt, Trinity,
Tehama, Glenn, Lake, & Colusa",1032649,935,1
MENDOCINO COMPLEX,Under Investigation,July,2018,"Colusa, Lake, Mendocino & Glenn",459123,280,1
SCU LIGHTNING COMPLEX,Under Investigation,August,2020,"Stanislaus, Santa Clara, Alameda, Contra Costa, & San Joaquin",396624,222,0
CREEK FIRE ,Under Investigation,September,2020,Fresno & Madera,377693,853,0
LNU LIGHTNING COMPLEX,Under Investigation,August,2020,"Sonoma, Lake, Napa, Yolo & Solano",363220,1491,6
NORTH COMPLEX ,Under Investigation,August,2020,"Butte, Plumas & Yuba",318930,2352,15
THOMAS ,Powerlines,December,2017,Ventura & Santa Barbara,281893,1063,2
CEDAR ,Human Related,October,2003,San Diego,273246,2820,15
RUSH ,Lightning ,August,2012,Lassen,315577,0,0
RIM ,Human Related,August,2013,Tuolumne,257314,112,0
ZACA ,Human Related,July,2007,Santa Barbara,240207,1,0
CARR ,Human Related,July,2018,Shasta County & Trinity,229651,1614,8
MATILIJA ,Undetermined,September,1932,Ventura,220000,0,0
WITCH ,Powerlines,October,2007,San Diego,197990,1650,2
KLAMATH THEATER COMPLEX ,Lightning,June,2008,Siskiyou,192038,0,2
MARBLE CONE ,Lightning,July,1977,Monterey,177866,0,0
LAGUNA ,Powerlines,September,1970,San Diego,175425,382,5
SQF COMPLEX ,Lightning,August,2020,Tulare,170384,228,0
BASIN COMPLEX ,Lightning,June,2008,Monterey,162818,58,0
DAY FIRE ,Human Related,September,2006,Ventura,162702,11,0
