,fire name,cause,month,year,county,acres,structures,deaths
0,AUGUST COMPLEX ,Under Investigation,August,2020,"Mendocino, Humboldt, Trinity,
Tehama, Glenn, Lake, & Colusa",1032649,935,1
1,MENDOCINO COMPLEX,Under Investigation,July,2018,"Colusa, Lake, Mendocino & Glenn",459123,280,1
2,SCU LIGHTNING COMPLEX,Under Investigation,August,2020,"Stanislaus, Santa Clara, Alameda, Contra Costa, & San Joaquin",396624,222,0
3,CREEK FIRE ,Under Investigation,September,2020,Fresno & Madera,377693,853,0
4,LNU LIGHTNING COMPLEX,Under Investigation,August,2020,"Sonoma, Lake, Napa, Yolo & Solano",363220,1491,6
5,NORTH COMPLEX ,Under Investigation,August,2020,"Butte, Plumas & Yuba",318930,2352,15
6,THOMAS ,Powerlines,December,2017,Ventura & Santa Barbara,281893,1063,2
7,CEDAR ,Human Related,October,2003,San Diego,273246,2820,15
8,RUSH ,Lightning ,August,2012,Lassen,315577,0,0
9,RIM ,Human Related,August,2013,Tuolumne,257314,112,0
10,ZACA ,Human Related,July,2007,Santa Barbara,240207,1,0
11,CARR ,Human Related,July,2018,Shasta County & Trinity,229651,1614,8
13,WITCH ,Powerlines,October,2007,San Diego,197990,1650,2
14,KLAMATH THEATER COMPLEX ,Lightning,June,2008,Siskiyou,192038,0,2
17,SQF COMPLEX ,Lightning,August,2020,Tulare,170384,228,0
18,BASIN COMPLEX ,Lightning,June,2008,Monterey,162818,58,0
19,DAY FIRE ,Human Related,September,2006,Ventura,162702,11,0
